time,open,high,low,close,volume
1604116800000,382.92,382.90508072,383.22,382.90508072,43.53807594
1604117100000,382.90508072,382.89,382.90508072,382.17,3.78053718
1604117400000,382.9,383.32,383.37,382.9,14.14836629
1604117700000,383.29043808,383.22,383.29043808,382.96,142.44990388
1604118000000,383.22,382.81,383.22,382.63,173.9215366
1604118300000,382.77,383.41,383.41,382.75,9.97232822
1604118600000,383.43056803,382.94,383.53,382.55,12.10645998
1604118900000,383.06,382.75327328,383.06,382.75327328,1.80103634
1604119200000,383.2,382.75,383.29,382.75,10.8514225
1604119500000,382.75,382.51,382.75,382.51,0.15000000000000002
1604119800000,382.5042112,383.1,383.11,382.5,60.726353599999996
1604120100000,383.1,383.36,383.58237547,383.1,5.53999062
1604120400000,383.5,383.47,384.1,383.47,1165.52212955
1604120700000,383.49,383.09,383.58,383.02,12.19126693
1604121000000,383.0,382.81,383.0,382.51,158.79542374
1604121300000,382.77,382.82,382.95,382.76,7.76513
1604121600000,382.62,382.95,382.95,382.6,2.31836426
1604121900000,383.0,383.3,383.3,383.0,102.46884
1604122200000,383.24,383.2,383.24,383.2,0.0575555
1604122500000,383.09,382.87,383.09,382.6,102.47241664
1604122800000,382.87,382.86,383.25540559,382.46,21.24787344
1604123100000,382.84,382.91,383.09,382.48469088,13.57303625
1604123400000,382.79,382.733536,382.79,382.66,5.1
1604123700000,382.73,382.52,382.73,382.52,2.92827955
1604124000000,382.51,381.74,382.65,381.68,116.20012351
1604124300000,381.66,382.35,382.36,381.25,44.86706108
1604124600000,381.98,383.05,383.05,381.98,81.09601046
1604124900000,383.04521067,383.45,383.45,383.04521067,26.1392561
1604125200000,383.44224552,383.44224552,383.45,383.38,31.21691951
1604125500000,383.43,383.98,383.98,383.22,23.59768409
1604125800000,383.99,384.86,385.33399981,383.99,43.08736426
1604126100000,384.8318675,384.93696496,385.24,384.38,51.86133819
1604126400000,384.81,384.64,384.81,384.59,8.43955723
1604126700000,384.74,384.2050368,385.33,384.2050368,6.56778616
1604127000000,384.32,384.66,384.73,384.32,13.3061079
1604127300000,384.8,384.75,384.91,384.75,6.68332893
1604127600000,384.92,384.57,385.02,384.56,32.38720546
1604127900000,384.57,384.80851251,384.83,384.31,30.99099052
1604128200000,384.8,384.86,384.86,384.62,21.91769282
1604128500000,384.8,384.0425984,384.8070144,384.0425984,114.56827284
1604128800000,384.1,384.76,384.81,384.1,11.14028229
1604129100000,384.3063802,384.0,384.56,383.87,75.17795228
1604129400000,383.78,384.0808192,384.0808192,383.7692154,6.05823278
1604129700000,383.95,383.43056803,383.95,383.41,4.3317939800000005
1604130000000,383.57069797,383.91,383.91,383.57069797,10.40941363
1604130300000,383.9183808,383.7463872,384.0999296,383.7463872,20.6381635
1604130600000,383.72,383.89766785,383.89766785,383.71,10.87630262
1604130900000,383.9,384.34,384.46,383.9,7.81127134
1604131200000,384.01,384.5968,384.87,384.01,29.85189258
1604131500000,384.49,385.5,385.5,384.29,45.09035251
1604131800000,385.53,385.64,386.0,385.53,38.15287497
1604132100000,385.59,386.0,386.22,385.3,209.11306459
1604132400000,386.0,385.49,386.0,385.03,792.12047624
1604132700000,385.67,387.24,387.24,385.60258221,268.84461871999997
1604133000000,387.23,388.13,388.95,386.74672,1912.82336758
1604133300000,388.25,387.27,388.25,387.27,125.5770112
1604133600000,387.3,387.97,388.09,387.3,44.95771953
1604133900000,387.95,387.78,387.95,387.24,488.68048342
1604134200000,387.77,387.56,387.78,387.24,38.32322099
1604134500000,387.64,387.31,387.84,387.31,21.67115091
1604134800000,387.31,388.05,388.19,387.31,44.70155408
1604135100000,388.2,387.8,388.6,387.8,194.37985569
1604135400000,387.8,388.14827625,388.15,387.79795138,69.50739094000001
1604135700000,388.15,388.58,389.0,388.15,515.57271084
1604136000000,388.66,388.59,388.97,388.3424384,108.16935104
1604136300000,388.33,388.18,388.4,388.07,146.52549199999999
1604136600000,388.2,389.9,390.3968064,388.16,1244.05175129
1604136900000,389.89990059,389.6,390.0241536,389.53789822,286.79244857
1604137200000,389.55,389.55,389.72473815,389.47,74.56636355
1604137500000,389.49,388.87228098,389.96,388.58,248.43107825
1604137800000,388.95,389.44,389.71,388.68,189.13362485
1604138100000,389.36273579,390.26,391.08,388.59,2058.65636223
1604138400000,390.27,392.48062712,393.36811678,390.27,2271.73073071
1604138700000,392.55069209,390.82,394.28,390.66,3848.02083535
1604139000000,390.8,390.06,390.8,388.32343868,1498.0538244
1604139300000,390.07,390.02,390.65,390.02,141.97566139
1604139600000,389.97,386.81,390.02,386.05,4499.26739446
1604139900000,386.71,387.51,387.9,386.17,695.89329297
1604140200000,387.56,388.03,388.45,387.28414157,274.81314325
1604140500000,388.18,388.47,389.00073343,388.18,38.61602121
1604140800000,388.7628672,389.21202457,389.21202457,388.18,62.671830220000004
1604141100000,389.25,388.18,389.45,387.68,162.83276137
1604141400000,388.51,389.33,389.71,388.43,22.68117398
1604141700000,389.34,389.13,389.65,388.7,67.22817796
1604142000000,389.29,388.86060348,390.12,388.86060348,59.28111904
1604142300000,389.11,389.66635068,389.66635068,388.54,117.124252
1604142600000,389.5750592,389.66,389.661056,389.35,27.59777274
1604142900000,389.62,389.9,390.1,389.58,4.02528803
1604143200000,389.86,389.61,390.02,389.49,94.52725271
1604143500000,389.29,389.04,389.47,388.38182616,75.49359982
1604143800000,389.13,388.08988877,389.13,388.05,64.2370491
1604144100000,388.18,389.14,389.14,388.18,7.16858113
1604144400000,389.43,389.13,389.45,388.86,44.72567618
1604144700000,389.31,390.02,390.11,389.28099332,27.88772498
1604145000000,389.95,390.5,390.66,389.95,30.136230519999998
1604145300000,390.58,390.42,390.58,390.0,27.49457978
1604145600000,390.42,390.89,390.89,390.01,107.43012643
1604145900000,390.9,392.76,392.76,390.9,207.28463936
1604146200000,392.75,392.58572458,393.0,392.16,33.3563977
1604146500000,392.58572458,391.75,393.02,391.25,143.54393011
1604146800000,391.73,390.44,391.73,390.14,141.26624408
1604147100000,390.45,391.13,391.24,390.45,15.05267084
1604147400000,391.09,391.7,392.06023727,390.46,78.82975728
1604147700000,391.79,390.17,391.79,389.71306066,74.58001571999999
1604148000000,390.17,390.34,390.58,389.92,27.2223461
1604148300000,390.55,390.77,391.42,390.37,21.246559350000002
1604148600000,390.6,390.62,390.68,390.28,123.24348806
1604148900000,390.58,390.98,390.98,390.51880786,13.75621946
1604149200000,391.23,393.01,393.12288937,391.21945759,81.06429632
1604149500000,393.01,391.12,393.01,391.11436013,57.61916533
1604149800000,391.0,391.11436013,391.46,390.75235777,149.35413287
1604150100000,391.08,391.0,391.08,390.38,66.4594054
1604150400000,390.89248771,391.16,391.45,390.66,23.59282405
1604150700000,391.11,392.45,392.65,391.01,34.36756828
1604151000000,392.59,391.3,392.73753202,391.2,28.33893245
1604151300000,391.51139498,391.74,392.11,391.51139498,12.36746237
1604151600000,392.11,392.65,392.94772694,392.11,24.17752554
1604151900000,392.23,392.03,392.23,391.45,16.58785711
1604152200000,391.82,392.07,392.31,391.6485376,58.08512206
1604152500000,391.95,391.91,392.17701223,391.89,26.15584802
1604152800000,391.89,391.30120006,391.90842983,391.25,10.13167047
1604153100000,391.33,391.40629752,391.43,390.73,331.59416831
1604153400000,391.30120006,391.33,391.74,391.21,14.026557489999998
1604153700000,391.5,390.94,391.85,390.94,20.02755345
1604154000000,390.91,389.86,390.91,389.82,24.87752188
1604154300000,389.94,389.36273571,389.94,389.3510583,18.120570960000002
1604154600000,389.36,388.801088,389.63,388.24169621,86.38619708
1604154900000,388.67376355,389.68,389.84,388.67376355,50.21839358
1604155200000,389.71,389.35,389.81,388.93,534.32175465
1604155500000,389.44,390.07506302,390.07506302,389.3,503.47656784
1604155800000,389.94,389.73,390.1,389.57293071,19.05012401
1604156100000,389.67802817,389.43,389.86,389.28,138.38543568
1604156400000,389.39,388.96,389.39,388.6,170.73179962
1604156700000,389.03,388.17,389.06,388.0,239.06829343
1604157000000,388.14827625,387.96,388.14827625,387.74,23.73031076
1604157300000,388.01,388.07,388.18330874,387.53,13.410213500000001
1604157600000,388.09,388.47,388.71,388.09,21.62411195
1604157900000,388.59,388.81,388.87,388.4571008,38.7411595
1604158200000,388.8,389.0,389.0,388.31,9.26178485
1604158500000,389.01,389.33,389.35,388.71,19.8054405
1604158800000,389.26931583,389.0,389.26931583,388.3,22.4081265
1604159100000,389.06,389.6992768,389.72,389.06,26.02087562
1604159400000,389.7,389.99,389.99332055,389.54,35.39090786
1604159700000,389.76,389.86,390.4159168,389.66,518.85440927
1604160000000,390.08,390.38,391.05,390.08,243.77979405
1604160300000,390.15680549,389.75,390.2,389.65,173.81766447
1604160600000,389.95,389.68,389.97,389.66,1.61641766
1604160900000,389.67,389.0,389.68,389.0,95.48509825000001
1604161200000,389.0,388.98,389.0,388.85,7.61912993
1604161500000,388.91899096,388.64,389.02,388.62,138.91652228
1604161800000,388.5,388.2884062,388.5,388.07,108.49589116
1604162100000,388.18330874,388.1704448,388.39,388.14827625,8.6725868
1604162400000,388.17,388.09,388.17,387.69,202.83641
1604162700000,388.05,388.47,388.48,387.96143632,2.65894423
1604163000000,388.52,388.11324376,388.52195611,388.07,16.16964818
1604163300000,388.07,388.38,388.38,387.96143632,7.65678218
1604163600000,388.44,388.24169621,388.68,388.17163124,37.589623700000004
1604163900000,387.97,387.27,387.97,387.24,23.51338075
1604164200000,387.31917406,387.91472634,388.04317879,387.31917406,27.15087021
1604164500000,387.86,387.37,387.86,386.74,179.95697819
1604164800000,387.47,386.75,387.49,386.75,303.45853153
1604165100000,386.73,386.67,387.0,386.01,302.96710729
1604165400000,386.36,386.94,387.43,386.36,286.76690112
1604165700000,386.89,387.21,387.34,386.89,21.62844696
1604166000000,387.13233413,387.55272397,387.67,387.13233413,26.86461987
1604166300000,387.5,387.31,387.5,386.95,12.01743827
1604166600000,387.48,387.28,387.48,387.13,8.03396616
1604166900000,387.27,386.93381663,387.33,386.7,63.35944195
1604167200000,386.93381663,386.42,386.94,386.20981198,10.53129537
1604167500000,386.32,384.91,386.32,384.29,406.41159349
1604167800000,385.29,385.1004499,385.46,385.07,71.66295656
1604168100000,385.1,385.2274432,386.04,385.02,23.74864559
1604168400000,385.7338688,385.93,386.05,385.68432468,9.68742638
1604168700000,385.87,385.87,386.04,385.01,23.23153477
1604169000000,385.7052032,385.98,386.18,385.7052032,26.97030948
1604169300000,385.81,386.3,386.35,385.81,5.78365565
1604169600000,386.25,385.12,386.25,384.7,483.2152781
1604169900000,384.99,385.05,385.47,384.8452352,148.06999339
1604170200000,385.05,385.56,385.72,384.77,69.37224303
1604170500000,385.61,384.86,385.63,384.86,32.1391695
1604170800000,384.85,384.91,385.46245226,384.84,19.72824338
1604171100000,384.99,385.16,385.16,384.76,25.93515532
1604171400000,385.06,385.66,385.66,385.0,18.79696095
